feature,importance
satisfaction_level,0.301106575706333
last_evaluation,0.12592429578237702
number_project,0.1792005813103706
average_montly_hours,0.1551140878552721
time_spend_company,0.18978115155682035
Work_accident,0.008876197353671686
promotion_last_5years,0.0015363984070423556
Departments_accounting,0.0019486493369160526
Departments_support,0.002904161468071024
Departments_technical,0.0036754547658571085
Departments_sales,0.00352838076466705
Departments_RandD,0.0018679674102586746
Departments_IT,0.0016891899013698258
Departments_hr,0.0018349081641787115
Departments_product_mng,0.001481808959123851
Departments_marketing,0.0013533573725860418
Departments_management,0.0015295793753881885
salary_medium,0.003969844831372118
salary_low,0.006931967709387964
salary_high,0.005745441968936387
